project_no,project_name,total_hours
2304,Two Waters Parcel 1 and 2,3868.5
1901,Maplewood Gardens,3649.0
2302,Kingsway,3225.5
2106,Arbutus & 35th,2910.5
2013,Harrison,2709.0
1803,Grange,2438.0
1712,Hawksley Amenity Extra,2420.0
2102,IPL - 33rd Ave,2044.0
2205,SFU Lot 36 & 37,1456.5
2201,Emery Phase 4,1379.5
2003,Eastward,1372.0
2403,Guelph & 10th,1351.5
1904,Seasons,971.5
2009,Sooke Church Rd,931.0
2017,Lynn Townhomes,924.0
1702,Lynn Parkside,919.0
2008,Mosaic - SFU - Lot 24,917.0
19010,Darwin Maplewood,733.5
23040,Two Waters Parcel 1 & 2,366.5
2310,Whistler-Lake Placid Road,165.5
2309,Rize East 10th,163.5
2401,Cambie Station 2.0,158.0
17120,Hawksley,133.5
2402,UBCO Master Plan,127.5
20030,Victoria & 11th,108.0
20090,Sooke Church Rd,84.0
2410,Mosaic Adaptable Study,80.5
2303,Mosaic - 200th Langley,72.0
2308,Qualex - East 6th,70.0
1806,Aragon - CAMBIE STATION,65.0
2405,Ledcor Mt Seymour Parkway,59.5
2404,Mosaic Colour Study,53.5
2408,IPL W41st & Blenheim,42.5
2407,IPL W. 16th Study,36.0
2206,Two Waters Master Plan,35.0
2301,Lotus Mission,34.5
2413,Transca Como Lake,30.0
2406,Rize Fraser & 13th,25.0
20170,Lynn Townhomes,24.0
2414,Whistler Creek West,18.5
1709,PR6B,17.0
2411,Mosaic Burns Rd,8.5
2412,Sales Centre Reno Beedie,7.0
1502,Beedie Pres Centre,3.0
2012,Sprice Street,2.0
9900,CA Meeting,2.0
2409,Mosaic Balcony Study,1.5
